"hilbert_index","col","row","temperature_uK","frequency_hz"
1,1,1,-1.6215122908027693,468.61105302805777
2,2,1,-1.3190984363383673,507.92607128657494
3,2,2,-2.04226920626442,418.9216153800255
4,1,2,-0.6656597269185993,604.5058982173789
5,1,3,-0.5720347942704052,619.7728438454053
6,1,4,-1.184623128233273,526.4519246999266
7,2,4,-2.8430846157191043,338.4401541843085
8,2,3,-2.198606012453337,401.8327005051483
9,3,3,-2.540736064358124,366.827854912048
10,3,4,-3.227521365090216,305.495074263164
11,4,4,-2.9234740990356984,331.2692832894435
12,4,3,-1.7789479843246077,449.36360810588906
13,4,2,0.031102042079810488,727.8013737855383
14,3,2,-1.026139957516262,549.1544869085855
15,3,1,-1.3379860425828198,505.37678789120946
16,4,1,0.4363739468614487,810.7763660319714
17,5,1,-0.5621388515876383,621.4088884494134
18,5,2,-0.6273648132798026,610.7044700624299
19,6,2,-1.0202328284632687,550.0193464790286
20,6,1,-1.773629039199892,450.00079080367374
21,7,1,-1.2587857810117797,516.1529562306469
22,8,1,-0.4037456923110325,648.1908044650614
23,8,2,0.2982863638811127,781.4927321648146
24,7,2,-0.8884765651049126,569.6677009694845
25,7,3,-0.5739380631667895,619.458680553541
26,8,3,1.1107089333655908,970.3283650670885
27,8,4,0.531799570421216,831.6515729195879
28,7,4,-1.2125379604350566,522.5514921853032
29,6,4,-1.1930527581527912,525.2710263318352
30,6,3,-0.8789399317543222,571.1168108366871
31,5,3,-0.807818862554,582.0406867369273
32,5,4,-1.9611615215632598,428.07176018726443
33,5,5,-1.399602717011751,497.14892832484327
34,5,6,-0.8155625915762976,580.8412193298266
35,6,6,-0.6344638371269011,609.5506130967124
36,6,5,-1.4421921667309625,491.54025689369416
37,7,5,-0.5342822862693302,626.0374954499373
38,8,5,-1.2724169174646303,514.2820370304571
39,8,6,-1.1910820755585791,525.5468598077845
40,7,6,-1.2978468263659715,510.8098047862481
41,7,7,-2.1563766365180648,406.3787896615043
42,8,7,-1.2632204742583597,515.5435339442731
43,8,8,-1.2187362739415146,521.6893538390981
44,7,8,-0.684205380507223,601.5266743228489
45,6,8,-0.7461452584326433,591.6824859568612
46,6,7,-2.087707205655951,413.8812853629556
47,5,7,-1.77897711829453,449.36012048941063
48,5,8,-0.3067476593182632,665.1584601712648
49,4,8,0.4500170559433676,813.7285045844322
50,3,8,1.0031035004192825,942.9078319116434
51,3,7,1.0487969089164706,954.4556939198561
52,4,7,-0.39822167056827984,649.1453808311081
53,4,6,-0.6624800835023464,605.0181644749912
54,4,5,-3.019752652045946,322.8807513768969
55,3,5,-2.04380791030734,418.7499306390704
56,3,6,-0.764565090276285,588.7861955596983
57,2,6,0.4949936893188285,823.5370298107739
58,2,5,-1.1478550268465075,531.6338536562257
59,1,5,-0.9186837023945511,565.1018917485053
60,1,6,-0.6031111606441811,614.6630996810006
61,1,7,0.6580339678221452,860.09453462649
62,2,7,1.1195260870475194,972.610231036412
63,2,8,1.1133757706709297,971.0179731916037
64,1,8,-0.6490218706274796,607.1912029161965
65,1,9,1.5173512739837993,1081.3480219630483
66,1,10,1.2833298355656646,1015.9918405507123
67,2,10,1.9745720512359446,1221.4169990750347
68,2,9,1.2954104851069843,1019.2668486132931
69,3,9,1.0373271002589948,951.5437604239363
70,4,9,0.699866936550229,869.7332667131244
71,4,10,0.1184026270283201,744.9260671336209
72,3,10,1.3818305882918438,1043.0048596755084
73,3,11,1.5764727707778592,1098.5139896765797
74,4,11,0.8479406833230363,904.7270495275841
75,4,12,-0.3785617143807858,652.554130744715
76,3,12,-0.9028540631105779,567.4899595484011
77,2,12,0.6229775406105037,852.0995005134314
78,2,11,1.9987801281159057,1229.3193848722692
79,1,11,0.5032776544400017,825.356452187855
80,1,12,1.2125389088771408,997.0111507424912
81,1,13,1.1685352764573362,985.3918937877338
82,2,13,-0.2648878850026918,672.6174255338774
83,2,14,-0.5068320103910589,630.6323186634096
84,1,14,0.8562425609360537,906.7301700329397
85,1,15,0.6917518579079949,867.8550647060028
86,1,16,0.7989613927468628,892.99881502843
87,2,16,-0.8443910100410738,576.3975217774204
88,2,15,-0.1763871008463549,688.6638291452982
89,3,15,-1.1201397057230233,535.5736125267371
90,3,16,-1.8303941648232152,443.2469919941939
91,4,16,-0.18505276596531373,687.0758645251283
92,4,15,-0.09943451837042622,702.9272093314305
93,4,14,-0.1981037027138286,684.6912154964522
94,3,14,-0.8009005924388877,583.1143892464875
95,3,13,-2.369868707240342,383.91132335349465
96,4,13,-1.557546853050662,476.66476812248135
97,5,13,-0.2584389916285478,673.7739618101817
98,6,13,-0.763399619812574,588.9690304827787
99,6,14,-0.042202093311624944,713.72662661458
100,5,14,-0.5334140212675214,626.1823178398447
101,5,15,0.6672352172583915,862.2053887152393
102,5,16,0.6879178308774186,866.9691060774653
103,6,16,0.7426062460284132,879.6923908656779
104,6,15,0.5257801085747063,830.3190221827222
105,7,15,0.7808424611116318,888.6988136949586
106,7,16,0.4168438469591347,806.5690115712931
107,8,16,-0.3108104743950246,664.4389283396986
108,8,15,1.0299114994040988,949.6658319517562
109,8,14,0.2254009528355756,766.4651555761349
110,7,14,0.7050629916032916,870.93800657894
111,7,13,0.29604941500516674,781.0271627449426
112,8,13,-0.02212094344887955,717.5550105580735
113,8,12,-0.658609739052138,605.6422940787402
114,8,11,-0.609927317809164,613.5479957728496
115,7,11,-0.7421501630818019,592.3125429440626
116,7,12,-1.900959680025669,434.9924023838098
117,6,12,-0.6461441408230038,607.6568692140835
118,5,12,-0.7091816958873346,597.5376004751835
119,5,11,-0.46522867926502764,637.660550122755
120,6,11,-0.9788317239383728,556.1192069342222
121,6,10,-0.3178563042605966,663.1929441266745
122,5,10,0.559624791901637,837.8391911052212
123,5,9,0.3635646824170965,795.2018157887582
124,6,9,-0.1366235442186347,695.9976045039568
125,7,9,-0.33776717132998424,659.6845237950279
126,7,10,-0.2026288476083526,683.8663211198315
127,8,10,0.5569259905184176,837.2370360653761
128,8,9,-0.8155745844828235,580.839363603093
129,9,9,0.45224411636364903,814.2114223770578
130,9,10,0.6847929040724546,866.2476738245587
131,10,10,0.08292437425695878,737.9186573967788
132,10,9,-0.5431566625238504,624.5592118405207
133,11,9,0.38293845878053934,799.3165870626683
134,12,9,1.4947797741845794,1074.8653553115528
135,12,10,0.2261679253473058,766.621776371267
136,11,10,-0.04358599379481473,713.4635455760491
137,11,11,-0.5349066767442535,625.9333708522903
138,12,11,-0.2936030425824272,667.4917382310493
139,12,12,0.3647016862318975,795.4427163992203
140,11,12,-0.08818943586029598,705.0361118617373
141,10,12,0.5009062137296624,824.8351980841512
142,10,11,1.5923451097527652,1103.1687558197216
143,9,11,-0.0971335119158753,703.3582260808912
144,9,12,-0.3741310586598153,653.3248100868692
145,9,13,1.1307108883133195,975.5125632592303
146,10,13,0.4780077837196933,819.8189179531655
147,10,14,0.20549139091662505,762.4106701389976
148,9,14,0.7786951757092435,888.1905922308185
149,9,15,0.8400046737268763,902.8163447040292
150,9,16,-0.23936211781974537,677.2068392182243
151,10,16,-0.21748320933716386,681.1654799621792
152,10,15,0.3404976683499234,790.3302576415985
153,11,15,-0.7880979604479011,585.1065605332358
154,11,16,-0.19144261738800705,685.9072838310541
155,12,16,-0.8582752352997463,574.2695117412228
156,12,15,-0.7261576929219712,594.84140288897
157,12,14,-1.4055484179331976,496.36210267795144
158,11,14,-1.1856738605416441,526.3045839541494
159,11,13,0.09784382729580948,740.857373127211
160,12,13,-0.05299338735506891,711.6777577501106
161,13,13,-0.3926755930186878,650.1051827589844
162,14,13,0.5035205448274235,825.4098592599879
163,14,14,-0.22237546619685372,680.2782999544271
164,13,14,-1.5070618035566645,483.1188192932321
165,13,15,-0.6770756871944099,602.6702662552483
166,13,16,-0.1800660698664274,687.9892181093709
167,14,16,0.25468984562683006,772.4689195723544
168,14,15,-0.6484271518805768,607.2874094003897
169,15,15,0.13191622144286644,747.6126414561576
170,15,16,-0.4264633859223548,644.279816876994
171,16,16,-0.1394875228907394,695.4667876536954
172,16,15,1.0116839058977005,945.0656078594552
173,16,14,1.6463481946447844,1119.1540660949072
174,15,14,0.11938657399919728,745.1213547146962
175,15,13,-0.43864658075102025,642.1921366602514
176,16,13,0.2012881155261697,761.5574393397576
177,16,12,0.5655034784257145,839.1523398659505
178,16,11,0.424426420388534,808.1999204881182
179,15,11,1.031102132734758,949.9670982609921
180,15,12,0.17809948289529598,756.8674708574341
181,14,12,-0.05510738505059587,711.277077017857
182,13,12,-0.40553544248557255,647.8818285758413
183,13,11,-0.14443690562971356,694.5504110439751
184,14,11,1.2114710011092356,996.7275516562523
185,14,10,2.0631166731873862,1250.5705307160736
186,13,10,0.6440372773793241,856.8934661858851
187,13,9,1.4612530276151952,1065.3079432426541
188,14,9,1.1881418668468169,990.5522370857628
189,15,9,0.3567184811163777,793.7528307850757
190,15,10,1.575281701335083,1098.1654865997402
191,16,10,0.7878723482439859,890.3646891171187
192,16,9,0.3000880779898514,781.8679192608439
193,16,8,0.2837282266468717,778.4677577300773
194,15,8,0.4351366678461694,810.5091700047245
195,15,7,0.19446861681752858,760.1751672989863
196,16,7,1.4191499685283435,1053.425975663956
197,16,6,0.9363985920803725,926.3002327285475
198,16,5,1.0514807627084526,955.1383512084225
199,15,5,1.3908689291341905,1045.5192392555543
200,15,6,0.4420155395077376,811.9958105361416
201,14,6,1.3322850003412556,1029.328793097803
202,14,5,1.6640620182460206,1124.4477760530974
203,13,5,1.184684509329382,989.6403217279006
204,13,6,1.5469865819411501,1089.9188590856872
205,13,7,0.548332902962299,835.3226324203054
206,14,7,-0.23847414848632542,677.3670543427878
207,14,8,0.8661537544786007,909.127403496605
208,13,8,0.7498666436936992,881.39550655879
209,12,8,0.10144961620906012,741.5693671554395
210,12,7,0.33792356830333675,789.7884838716767
211,11,7,-0.08877512265291443,704.9261161502366
212,11,8,-0.00693090551390918,720.4645611140634
213,10,8,-0.587749428232647,617.1836717788947
214,9,8,-1.378413308726468,499.9631902540898
215,9,7,-1.5929789197532884,472.1866626085993
216,10,7,-0.945953018826922,561.0115712624956
217,10,6,0.08246430821528214,737.8282227395773
218,9,6,-0.9175202332376762,565.2770706435427
219,9,5,-0.5438346894558673,624.4464105204211
220,10,5,0.810495789336173,895.7470003391176
221,11,5,1.550899016625259,1091.0554402485545
222,11,6,0.04684557693961022,730.8602296255975
223,12,6,0.5900014316865168,844.6467538247324
224,12,5,1.3659256049969857,1038.594920028029
225,12,4,2.880591208540377,1554.8427204701225
226,12,3,3.213761922851484,1699.1545306601438
227,11,3,2.257702840410745,1317.1067330308108
228,11,4,2.3230354459691287,1340.2310344227435
229,10,4,1.2887049093413625,1017.447696695968
230,9,4,0.5209758605212349,829.2570201074739
231,9,3,0.9213287133663937,922.5889597235339
232,10,3,0.3362945851157834,789.4458218207235
233,10,2,0.24149753162775464,769.7589032188223
234,9,2,1.2724511075788534,1013.0516734093214
235,9,1,0.7014329578022233,870.096183592788
236,10,1,0.32439613217601093,786.9474472516041
237,11,1,0.5224496419156434,829.5826620411266
238,11,2,1.3343692764696342,1029.900485990472
239,12,2,2.005650959879117,1231.5715716727686
240,12,1,0.2912766353289944,780.0347455055474
241,13,1,0.07586108328604291,736.5314547871988
242,14,1,-0.4944897471433384,632.7092303909818
243,14,2,1.433798174241538,1057.5447589043956
244,13,2,1.4575696831018519,1064.2631333128713
245,13,3,3.0432984317619973,1623.7194310562575
246,13,4,2.728090436349123,1492.9414769212133
247,14,4,2.741295426101381,1498.2025919482796
