"l","Cl_uK2","Dl_uK2","is_peak"
2,1622.4309762513412,1549.3074581748626,0
3,813.8126107870121,1554.2675970872845,0
4,489.6282775887326,1558.5352131163495,0
5,327.1712390157334,1562.1275978056183,0
6,234.13330814975257,1565.0658800486249,0
7,175.8590429449917,1567.3748144378987,0
8,136.92828211457132,1569.0825322283224,0
9,109.62205407843639,1570.2202600623195,0
10,89.72514351518305,1570.8220121078211,0
11,74.77581999308526,1570.924261585707,0
12,63.25740184692364,1570.5655978097727,0
13,54.193729042716576,1569.7863748350696,0
14,46.93325070969942,1568.6283576221722,0
15,41.027481900367704,1567.1343712936293,0
16,36.159453287284954,1565.3479586067526,0
17,32.09995290084319,1563.3130502189829,0
18,28.679868514081587,1561.07365170466,0
19,25.772196715666034,1558.673550621285,0
20,23.28004001295497,1556.1560462443358,0
21,21.128416965816246,1553.5637039151402,0
22,19.258560679913945,1550.9381352960197,0
23,17.623877266226874,1548.319805217417,0
24,16.187033792526723,1545.7478652457062,0
25,14.917828681006062,1543.2600136071067,0
26,13.791613057296837,1540.892380678222,0
27,12.788105876923387,1538.679438899725,0
28,11.890494373059884,1536.6539356864243,0
29,11.084743864583858,1534.8468476917897,0
30,10.359062987439563,1533.2873546337119,0
31,9.70348556150162,1532.0028307951477,0
32,9.109540868948047,1531.0188522718017,0
33,8.56999158066782,1530.3592180421524,0
34,8.078623898775028,1530.0459829757344,0
35,7.630078335711546,1530.0995009666622,0
36,7.219712362954928,1530.5384764742385,0
37,6.843488235685547,1531.3800228650275,0
38,6.497880842157078,1532.6397260754145,0
39,6.179801583795778,1534.331712245626,0
40,5.886535167425596,1536.4687181113009,0
41,5.615686858222629,1539.0621630734872,0
42,5.3651382542322565,1542.122221999669,0
43,5.1330100392338345,1545.6578979348628,0
44,4.917630478801903,1549.67709402136,0
45,4.717508665582756,1554.1866840371376,0
46,4.531311709720181,1559.1925810656378,0
47,4.357845220758209,1564.6998039030655,0
48,4.19603654708539,1570.712540893513,0
49,4.044920334803027,1577.234210957224,0
50,3.9036260449535836,1584.2675216434018,0
51,3.7713671303013676,1591.8145240966642,0
52,3.647431623384733,1599.8766648759938,0
53,3.5311739287448694,1608.4548346075003,0
54,3.422007645947782,1617.5494134880246,0
55,3.3193992777206183,1627.1603136863027,0
56,3.222862700379396,1637.2870187126248,0
57,3.131954292651346,1647.9286198473096,0
58,3.0462686347235626,1659.0838497334298,0
59,2.9654347024662027,1670.7511132506397,0
60,2.8891124927534193,1682.9285157951308,0
61,2.816990025018176,1695.613889096178,0
62,2.7487806719351164,1708.8048147028312,0
63,2.684220778678417,1722.4986452754388,0
64,2.6230675357525395,1736.692523816197,0
65,2.565097075109512,1751.3834009710963,0
66,2.510102763283638,1766.5680505327477,0
67,2.457893668705772,1782.2430832698392,0
68,2.408293183297789,1798.404959204597,0
69,2.361137780970458,1815.0499984547653,0
70,2.316275897818945,1832.1743907514397,0
71,2.2735669206828377,1849.7742037386756,0
72,2.2328802723566907,1867.8453901552782,0
73,2.1940945831400467,1886.3837939936416,0
74,2.1570969396340915,1905.3851557249682,0
75,2.1217822027522093,1924.8451166748182,0
76,2.088052387835916,1944.7592226276079,0
77,2.055816100575137,1965.1229267335952,0
78,2.0249880231385062,1985.931591786941,0
79,1.995488445539066,2007.180491938726,0
80,1.9672428378051288,2028.8648139043148,0
81,1.9401814590050583,2050.9796577201714,0
82,1.914238999596959,2073.5200371012274,0
83,1.889354253947002,2096.4808794460723,0
84,1.8654698201897228,2119.857025533677,0
85,1.8425318248955218,2143.6432289520085,0
86,1.8204896702694873,2167.8341552957468,0
87,1.799295801835603,2192.424381167411,0
88,1.7789054947649159,2217.4083930134525,0
89,1.7592766571884149,2242.7805858243537,0
90,1.7403696489977842,2268.535261725404,0
91,1.722147114782309,2294.666628482648,0
92,1.704573829679881,2321.1687979464855,0
93,1.6876165570361605,2348.0357844534983,0
94,1.6712439168700401,2375.2615032053986,0
95,1.6554262642368835,2402.839768642345,0
96,1.6401355766649315,2430.7642928264363,0
97,1.6253453499156578,2459.028683849804,0
98,1.6110305013867818,2487.6264442804877,0
99,1.5971672805378159,2516.55096965811,0
100,1.5837331857732426,2545.795547050314,0
101,1.5707068872682364,2575.353353679924,0
102,1.558068155266917,2605.2174556319146,0
103,1.545797793423852,2635.3808066483984,0
104,1.5338775767964625,2665.8362470191305,0
105,1.5222901941294045,2696.5765025742544,0
106,1.5110191941023647,2727.594183785416,0
107,1.500048935240252,2758.881784980736,0
108,1.4893645392097925,2790.4316836785842,0
109,1.4789518472493164,2822.236140044575,0
