"hilbert_index","col","row","brightness","hue","saturation","frequency_assigned"
1,1,1,0.023426059633493423,0,0,242.16690734028816
2,2,1,0.026390118524432182,0,0,247.50221334397793
3,2,2,0.029729217290878296,0,0,253.51259112358093
4,1,2,0.026390118524432182,0,0,247.50221334397793
5,1,3,0.02961331233382225,0,0,253.30396220088005
6,1,4,0.03310062363743782,0,0,259.5811225473881
7,2,4,0.03728879243135452,0,0,267.11982637643814
8,2,3,0.03336023539304733,0,0,260.0484237074852
9,3,3,0.03743473440408707,0,0,267.3825219273567
10,3,4,0.04184310883283615,0,0,275.3175958991051
11,4,4,0.046770621091127396,0,0,284.1871179640293
12,4,3,0.04184310883283615,0,0,275.3175958991051
13,4,2,0.03728879243135452,0,0,267.11982637643814
14,3,2,0.03336023539304733,0,0,260.0484237074852
15,3,1,0.02961331233382225,0,0,253.30396220088005
16,4,1,0.03310062363743782,0,0,259.5811225473881
17,5,1,0.03685436397790909,0,0,266.33785516023636
18,5,2,0.041517484933137894,0,0,274.7314728796482
19,6,2,0.046045511960983276,0,0,282.8819215297699
20,6,1,0.04087381437420845,0,0,273.5728658735752
21,7,1,0.045154910534620285,0,0,281.2788389623165
22,8,1,0.049689922481775284,0,0,289.4418604671955
23,8,2,0.05597710609436035,0,0,300.75879096984863
24,7,2,0.050868283957242966,0,0,291.56291112303734
25,7,3,0.057081155478954315,0,0,302.74607986211777
26,8,3,0.06281394511461258,0,0,313.06510120630264
27,8,4,0.0702110230922699,0,0,326.3798415660858
28,7,4,0.06380312144756317,0,0,314.8456186056137
29,6,4,0.05775400996208191,0,0,303.95721793174744
30,6,3,0.051669344305992126,0,0,293.0048197507858
31,5,3,0.04658827930688858,0,0,283.85890275239944
32,5,4,0.05207459256052971,0,0,293.7342666089535
33,5,5,0.05798005312681198,0,0,304.36409562826157
34,5,6,0.06430353969335556,0,0,315.74637144804
35,6,6,0.0713166818022728,0,0,328.37002724409103
36,6,5,0.06430353969335556,0,0,315.74637144804
37,7,5,0.07103864848613739,0,0,327.8695672750473
38,8,5,0.07817322015762329,0,0,340.7117962837219
39,8,6,0.08669903874397278,0,0,356.058269739151
40,7,6,0.07878634333610535,0,0,341.8154180049896
41,7,7,0.08703836798667908,0,0,356.66906237602234
42,8,7,0.09577983617782593,0,0,372.40370512008667
43,8,8,0.1053992211818695,0,0,389.7185981273651
44,7,8,0.09577983617782593,0,0,372.40370512008667
45,6,8,0.08669903874397278,0,0,356.058269739151
46,6,7,0.07878634333610535,0,0,341.8154180049896
47,5,7,0.07103864848613739,0,0,327.8695672750473
48,5,8,0.07817322015762329,0,0,340.7117962837219
49,4,8,0.0702110230922699,0,0,326.3798415660858
50,3,8,0.06281394511461258,0,0,313.06510120630264
51,3,7,0.057081155478954315,0,0,302.74607986211777
52,4,7,0.06380312144756317,0,0,314.8456186056137
53,4,6,0.05775400996208191,0,0,303.95721793174744
54,4,5,0.05207459256052971,0,0,293.7342666089535
55,3,5,0.04658827930688858,0,0,283.85890275239944
56,3,6,0.051669344305992126,0,0,293.0048197507858
57,2,6,0.046045511960983276,0,0,282.8819215297699
58,2,5,0.041517484933137894,0,0,274.7314728796482
59,1,5,0.03685436397790909,0,0,266.33785516023636
60,1,6,0.04087381437420845,0,0,273.5728658735752
61,1,7,0.045154910534620285,0,0,281.2788389623165
62,2,7,0.050868283957242966,0,0,291.56291112303734
63,2,8,0.05597710609436035,0,0,300.75879096984863
64,1,8,0.049689922481775284,0,0,289.4418604671955
65,1,9,0.05446721985936165,0,0,298.04099574685097
66,1,10,0.05947105213999748,0,0,307.04789385199547
67,2,10,0.06699582189321518,0,0,320.5924794077873
68,2,9,0.06135886535048485,0,0,310.4459576308727
69,3,9,0.06885301321744919,0,0,323.93542379140854
70,4,9,0.07696125656366348,0,0,338.53026181459427
71,4,10,0.0840315893292427,0,0,351.25686079263687
72,3,10,0.07517845183610916,0,0,335.3212133049965
73,3,11,0.08176498115062714,0,0,347.17696607112885
74,4,11,0.09139375388622284,0,0,364.5087569952011
75,4,12,0.09901341050863266,0,0,378.2241389155388
76,3,12,0.0885818675160408,0,0,359.44736152887344
77,2,12,0.07894036918878555,0,0,342.092664539814
78,2,11,0.07286545634269714,0,0,331.15782141685486
79,1,11,0.06468142569065094,0,0,316.4265662431717
80,1,12,0.07007402181625366,0,0,326.1332392692566
81,1,13,0.07562024146318436,0,0,336.11643463373184
82,2,13,0.08518834412097931,0,0,353.33901941776276
83,2,14,0.09157243371009827,0,0,364.8303806781769
84,1,14,0.08128728717565536,0,0,346.31711691617966
85,1,15,0.08703836798667908,0,0,356.66906237602234
86,1,16,0.09283299744129181,0,0,367.09939539432526
87,2,16,0.10457900166511536,0,0,388.24220299720764
88,2,15,0.09805118292570114,0,0,376.49212926626205
89,3,15,0.11002680659294128,0,0,398.0482518672943
90,3,16,0.11735190451145172,0,0,411.2334281206131
91,4,16,0.13117145001888275,0,0,436.10861003398895
92,4,15,0.12298373878002167,0,0,421.370729804039
93,4,14,0.11485756188631058,0,0,406.74361139535904
94,3,14,0.10275676101446152,0,0,384.96216982603073
95,3,13,0.09559294581413269,0,0,372.06730246543884
96,4,13,0.10685012489557266,0,0,392.3302248120308
97,5,13,0.11896734684705734,0,0,414.1412243247032
98,6,13,0.1319422870874405,0,0,437.4961167573929
99,6,14,0.14183016121387482,0,0,455.29429018497467
100,5,14,0.12788285315036774,0,0,430.1891356706619
101,5,15,0.13693057000637054,0,0,446.475026011467
102,5,16,0.14604680240154266,0,0,462.8842443227768
103,6,16,0.16197513043880463,0,0,491.5552347898483
104,6,15,0.1518646478652954,0,0,473.35636615753174
105,7,15,0.1677708476781845,0,0,501.9875258207321
106,7,16,0.1789402812719345,0,0,522.0925062894821
107,8,16,0.19691167771816254,0,0,554.4410198926926
108,8,15,0.1846204549074173,0,0,532.3168188333511
109,8,14,0.1724216192960739,0,0,510.35891473293304
110,7,14,0.15668535232543945,0,0,482.033634185791
111,7,13,0.14576183259487152,0,0,462.37129867076874
112,8,13,0.16040103137493134,0,0,488.7218564748764
113,8,12,0.14863672852516174,0,0,467.54611134529114
114,8,11,0.13719826936721802,0,0,446.95688486099243
115,7,11,0.12467670440673828,0,0,424.4180679321289
116,7,12,0.13507121801376343,0,0,443.12819242477417
117,6,12,0.12226524204015732,0,0,420.0774356722832
118,5,12,0.11024191230535507,0,0,398.43544214963913
119,5,11,0.10175815969705582,0,0,383.16468745470047
120,6,11,0.11285622417926788,0,0,403.1412035226822
121,6,10,0.10376515984535217,0,0,386.7772877216339
122,5,10,0.0935610979795456,0,0,368.40997636318207
123,5,9,0.08568896353244781,0,0,354.24013435840607
124,6,9,0.09503446519374847,0,0,371.06203734874725
125,7,9,0.10498831421136856,0,0,388.9789655804634
126,7,10,0.11463344842195511,0,0,406.3402071595192
127,8,10,0.1261463612318039,0,0,427.063450217247
128,8,9,0.1155325323343277,0,0,407.95855820178986
129,9,9,0.12664008140563965,0,0,427.95214653015137
130,9,10,0.13827434182167053,0,0,448.89381527900696
131,10,10,0.15097741782665253,0,0,471.75935208797455
132,10,9,0.13827434182167053,0,0,448.89381527900696
133,11,9,0.15038880705833435,0,0,470.69985270500183
134,12,9,0.16292698681354523,0,0,493.2685762643814
135,12,10,0.17789487540721893,0,0,520.2107757329941
136,11,10,0.16420483589172363,0,0,495.56870460510254
137,11,11,0.17859113216400146,0,0,521.4640378952026
138,12,11,0.19348058104515076,0,0,548.2650458812714
139,12,12,0.20961138606071472,0,0,577.3004949092865
140,11,12,0.19348058104515076,0,0,548.2650458812714
141,10,12,0.17789487540721893,0,0,520.2107757329941
142,10,11,0.16420483589172363,0,0,495.56870460510254
143,9,11,0.15038880705833435,0,0,470.69985270500183
144,9,12,0.16292698681354523,0,0,493.2685762643814
145,9,13,0.17582233250141144,0,0,516.4801985025406
146,10,13,0.19197490811347961,0,0,545.5548346042633
147,10,14,0.20636166632175446,0,0,571.450999379158
148,9,14,0.18899860978126526,0,0,540.1974976062775
