"hilbert_index","col","row","brightness","hue","saturation","frequency_assigned"
1,1,1,0.023426059633493423,0,0,130.81
2,2,1,0.026390118524432182,0,0,130.81
3,2,2,0.029729217290878296,0,0,130.81
4,1,2,0.026390118524432182,0,0,130.81
5,1,3,0.02961331233382225,0,0,130.81
6,1,4,0.03310062363743782,0,0,130.81
7,2,4,0.03728879243135452,0,0,130.81
8,2,3,0.03336023539304733,0,0,130.81
9,3,3,0.03743473440408707,0,0,130.81
10,3,4,0.04184310883283615,0,0,130.81
11,4,4,0.046770621091127396,0,0,130.81
12,4,3,0.04184310883283615,0,0,130.81
13,4,2,0.03728879243135452,0,0,130.81
14,3,2,0.03336023539304733,0,0,130.81
15,3,1,0.02961331233382225,0,0,130.81
16,4,1,0.03310062363743782,0,0,130.81
17,5,1,0.03685436397790909,0,0,130.81
18,5,2,0.041517484933137894,0,0,130.81
19,6,2,0.046045511960983276,0,0,130.81
20,6,1,0.04087381437420845,0,0,130.81
21,7,1,0.045154910534620285,0,0,130.81
22,8,1,0.049689922481775284,0,0,130.81
23,8,2,0.05597710609436035,0,0,130.81
24,7,2,0.050868283957242966,0,0,130.81
25,7,3,0.057081155478954315,0,0,130.81
26,8,3,0.06281394511461258,0,0,130.81
27,8,4,0.0702110230922699,0,0,130.81
28,7,4,0.06380312144756317,0,0,130.81
29,6,4,0.05775400996208191,0,0,130.81
30,6,3,0.051669344305992126,0,0,130.81
31,5,3,0.04658827930688858,0,0,130.81
32,5,4,0.05207459256052971,0,0,130.81
33,5,5,0.05798005312681198,0,0,130.81
34,5,6,0.06430353969335556,0,0,130.81
35,6,6,0.0713166818022728,0,0,130.81
36,6,5,0.06430353969335556,0,0,130.81
37,7,5,0.07103864848613739,0,0,130.81
38,8,5,0.07817322015762329,0,0,130.81
39,8,6,0.08669903874397278,0,0,130.81
40,7,6,0.07878634333610535,0,0,130.81
41,7,7,0.08703836798667908,0,0,130.81
42,8,7,0.09577983617782593,0,0,130.81
43,8,8,0.1053992211818695,0,0,130.81
44,7,8,0.09577983617782593,0,0,130.81
45,6,8,0.08669903874397278,0,0,130.81
46,6,7,0.07878634333610535,0,0,130.81
47,5,7,0.07103864848613739,0,0,130.81
48,5,8,0.07817322015762329,0,0,130.81
49,4,8,0.0702110230922699,0,0,130.81
50,3,8,0.06281394511461258,0,0,130.81
51,3,7,0.057081155478954315,0,0,130.81
52,4,7,0.06380312144756317,0,0,130.81
53,4,6,0.05775400996208191,0,0,130.81
54,4,5,0.05207459256052971,0,0,130.81
55,3,5,0.04658827930688858,0,0,130.81
56,3,6,0.051669344305992126,0,0,130.81
57,2,6,0.046045511960983276,0,0,130.81
58,2,5,0.041517484933137894,0,0,130.81
59,1,5,0.03685436397790909,0,0,130.81
60,1,6,0.04087381437420845,0,0,130.81
61,1,7,0.045154910534620285,0,0,130.81
62,2,7,0.050868283957242966,0,0,130.81
63,2,8,0.05597710609436035,0,0,130.81
64,1,8,0.049689922481775284,0,0,130.81
65,1,9,0.05446721985936165,0,0,130.81
66,1,10,0.05947105213999748,0,0,130.81
67,2,10,0.06699582189321518,0,0,130.81
68,2,9,0.06135886535048485,0,0,130.81
69,3,9,0.06885301321744919,0,0,130.81
70,4,9,0.07696125656366348,0,0,130.81
71,4,10,0.0840315893292427,0,0,130.81
72,3,10,0.07517845183610916,0,0,130.81
73,3,11,0.08176498115062714,0,0,130.81
74,4,11,0.09139375388622284,0,0,130.81
75,4,12,0.09901341050863266,0,0,130.81
76,3,12,0.0885818675160408,0,0,130.81
77,2,12,0.07894036918878555,0,0,130.81
78,2,11,0.07286545634269714,0,0,130.81
79,1,11,0.06468142569065094,0,0,130.81
80,1,12,0.07007402181625366,0,0,130.81
81,1,13,0.07562024146318436,0,0,130.81
82,2,13,0.08518834412097931,0,0,130.81
83,2,14,0.09157243371009827,0,0,130.81
84,1,14,0.08128728717565536,0,0,130.81
85,1,15,0.08703836798667908,0,0,130.81
86,1,16,0.09283299744129181,0,0,130.81
87,2,16,0.10457900166511536,0,0,130.81
88,2,15,0.09805118292570114,0,0,130.81
89,3,15,0.11002680659294128,0,0,130.81
90,3,16,0.11735190451145172,0,0,130.81
91,4,16,0.13117145001888275,0,0,130.81
92,4,15,0.12298373878002167,0,0,130.81
93,4,14,0.11485756188631058,0,0,130.81
94,3,14,0.10275676101446152,0,0,130.81
95,3,13,0.09559294581413269,0,0,130.81
96,4,13,0.10685012489557266,0,0,130.81
97,5,13,0.11896734684705734,0,0,130.81
98,6,13,0.1319422870874405,0,0,130.81
99,6,14,0.14183016121387482,0,0,130.81
100,5,14,0.12788285315036774,0,0,130.81
101,5,15,0.13693057000637054,0,0,130.81
102,5,16,0.14604680240154266,0,0,130.81
103,6,16,0.16197513043880463,0,0,130.81
104,6,15,0.1518646478652954,0,0,130.81
105,7,15,0.1677708476781845,0,0,130.81
106,7,16,0.1789402812719345,0,0,130.81
107,8,16,0.19691167771816254,0,0,130.81
108,8,15,0.1846204549074173,0,0,130.81
109,8,14,0.1724216192960739,0,0,130.81
110,7,14,0.15668535232543945,0,0,130.81
111,7,13,0.14576183259487152,0,0,130.81
112,8,13,0.16040103137493134,0,0,130.81
113,8,12,0.14863672852516174,0,0,130.81
114,8,11,0.13719826936721802,0,0,130.81
115,7,11,0.12467670440673828,0,0,130.81
116,7,12,0.13507121801376343,0,0,130.81
117,6,12,0.12226524204015732,0,0,130.81
118,5,12,0.11024191230535507,0,0,130.81
119,5,11,0.10175815969705582,0,0,130.81
120,6,11,0.11285622417926788,0,0,130.81
121,6,10,0.10376515984535217,0,0,130.81
122,5,10,0.0935610979795456,0,0,130.81
123,5,9,0.08568896353244781,0,0,130.81
124,6,9,0.09503446519374847,0,0,130.81
125,7,9,0.10498831421136856,0,0,130.81
126,7,10,0.11463344842195511,0,0,130.81
127,8,10,0.1261463612318039,0,0,130.81
128,8,9,0.1155325323343277,0,0,130.81
129,9,9,0.12664008140563965,0,0,130.81
130,9,10,0.13827434182167053,0,0,130.81
131,10,10,0.15097741782665253,0,0,130.81
132,10,9,0.13827434182167053,0,0,130.81
133,11,9,0.15038880705833435,0,0,130.81
134,12,9,0.16292698681354523,0,0,130.81
135,12,10,0.17789487540721893,0,0,130.81
136,11,10,0.16420483589172363,0,0,130.81
137,11,11,0.17859113216400146,0,0,130.81
138,12,11,0.19348058104515076,0,0,130.81
139,12,12,0.20961138606071472,0,0,130.81
140,11,12,0.19348058104515076,0,0,130.81
141,10,12,0.17789487540721893,0,0,130.81
142,10,11,0.16420483589172363,0,0,130.81
143,9,11,0.15038880705833435,0,0,130.81
144,9,12,0.16292698681354523,0,0,130.81
145,9,13,0.17582233250141144,0,0,130.81
146,10,13,0.19197490811347961,0,0,130.81
147,10,14,0.20636166632175446,0,0,130.81
148,9,14,0.18899860978126526,0,0,130.81
149,9,15,0.2023702710866928,0,0,130.81
150,9,16,0.21584318578243256,0,0,130.81
151,10,16,0.23567241430282593,0,0,130.81
152,10,15,0.2209617644548416,0,0,130.81
153,11,15,0.24032063782215118,0,0,130.81
154,11,16,0.25632011890411377,0,0,164.81
155,12,16,0.27768996357917786,0,0,164.81
156,12,15,0.2603565752506256,0,0,164.81
157,12,14,0.24315346777439117,0,0,130.81
158,11,14,0.22444139420986176,0,0,130.81
159,11,13,0.20879419147968292,0,0,130.81
160,12,13,0.22620171308517456,0,0,130.81
161,13,13,0.24410514533519745,0,0,130.81
162,14,13,0.2623985707759857,0,0,164.81
163,14,14,0.28206294775009155,0,0,164.81
164,13,14,0.2623985707759857,0,0,164.81
165,13,15,0.28096330165863037,0,0,164.81
166,13,16,0.2996685802936554,0,0,164.81
167,14,16,0.32212600111961365,0,0,164.81
168,14,15,0.3020189106464386,0,0,164.81
169,15,15,0.3233867585659027,0,0,164.81
170,15,16,0.344916433095932,0,0,164.81
171,16,16,0.3678794503211975,0,0,164.81
172,16,15,0.344916433095932,0,0,164.81
173,16,14,0.32212600111961365,0,0,164.81
174,15,14,0.3020189106464386,0,0,164.81
175,15,13,0.28096330165863037,0,0,164.81
176,16,13,0.2996685802936554,0,0,164.81
177,16,12,0.27768996357917786,0,0,164.81
178,16,11,0.25632011890411377,0,0,164.81
179,15,11,0.24032063782215118,0,0,130.81
180,15,12,0.2603565752506256,0,0,164.81
181,14,12,0.24315346777439117,0,0,130.81
182,13,12,0.22620171308517456,0,0,130.81
183,13,11,0.20879419147968292,0,0,130.81
184,14,11,0.22444139420986176,0,0,130.81
185,14,10,0.20636166632175446,0,0,130.81
186,13,10,0.19197490811347961,0,0,130.81
187,13,9,0.17582233250141144,0,0,130.81
188,14,9,0.18899860978126526,0,0,130.81
189,15,9,0.2023702710866928,0,0,130.81
190,15,10,0.2209617644548416,0,0,130.81
191,16,10,0.23567241430282593,0,0,130.81
192,16,9,0.21584318578243256,0,0,130.81
193,16,8,0.19691167771816254,0,0,130.81
