"hilbert_index","col","row","brightness","hue","saturation","frequency_assigned"
1,1,1,0.023426059633493423,0,0,100
2,2,1,0.026390118524432182,0,0,100
3,2,2,0.029729217290878296,0,0,100
4,1,2,0.026390118524432182,0,0,100
5,1,3,0.02961331233382225,0,0,100
6,1,4,0.03310062363743782,0,0,100
7,2,4,0.03728879243135452,0,0,100
8,2,3,0.03336023539304733,0,0,100
9,3,3,0.03743473440408707,0,0,100
10,3,4,0.04184310883283615,0,0,100
11,4,4,0.046770621091127396,0,0,100
12,4,3,0.04184310883283615,0,0,100
13,4,2,0.03728879243135452,0,0,100
14,3,2,0.03336023539304733,0,0,100
15,3,1,0.02961331233382225,0,0,100
16,4,1,0.03310062363743782,0,0,100
17,5,1,0.03685436397790909,0,0,100
18,5,2,0.041517484933137894,0,0,100
19,6,2,0.046045511960983276,0,0,100
20,6,1,0.04087381437420845,0,0,100
21,7,1,0.045154910534620285,0,0,100
22,8,1,0.049689922481775284,0,0,100
23,8,2,0.05597710609436035,0,0,100
24,7,2,0.050868283957242966,0,0,100
25,7,3,0.057081155478954315,0,0,100
26,8,3,0.06281394511461258,0,0,100
27,8,4,0.0702110230922699,0,0,100
28,7,4,0.06380312144756317,0,0,100
29,6,4,0.05775400996208191,0,0,100
30,6,3,0.051669344305992126,0,0,100
31,5,3,0.04658827930688858,0,0,100
32,5,4,0.05207459256052971,0,0,100
33,5,5,0.05798005312681198,0,0,100
34,5,6,0.06430353969335556,0,0,100
35,6,6,0.0713166818022728,0,0,100
36,6,5,0.06430353969335556,0,0,100
37,7,5,0.07103864848613739,0,0,100
38,8,5,0.07817322015762329,0,0,100
39,8,6,0.08669903874397278,0,0,100
40,7,6,0.07878634333610535,0,0,100
41,7,7,0.08703836798667908,0,0,100
42,8,7,0.09577983617782593,0,0,100
43,8,8,0.1053992211818695,0,0,100
44,7,8,0.09577983617782593,0,0,100
45,6,8,0.08669903874397278,0,0,100
46,6,7,0.07878634333610535,0,0,100
47,5,7,0.07103864848613739,0,0,100
48,5,8,0.07817322015762329,0,0,100
49,4,8,0.0702110230922699,0,0,100
50,3,8,0.06281394511461258,0,0,100
51,3,7,0.057081155478954315,0,0,100
52,4,7,0.06380312144756317,0,0,100
53,4,6,0.05775400996208191,0,0,100
54,4,5,0.05207459256052971,0,0,100
55,3,5,0.04658827930688858,0,0,100
56,3,6,0.051669344305992126,0,0,100
57,2,6,0.046045511960983276,0,0,100
58,2,5,0.041517484933137894,0,0,100
59,1,5,0.03685436397790909,0,0,100
60,1,6,0.04087381437420845,0,0,100
61,1,7,0.045154910534620285,0,0,100
62,2,7,0.050868283957242966,0,0,100
63,2,8,0.05597710609436035,0,0,100
64,1,8,0.049689922481775284,0,0,100
65,1,9,0.05446721985936165,0,0,100
66,1,10,0.05947105213999748,0,0,100
67,2,10,0.06699582189321518,0,0,100
68,2,9,0.06135886535048485,0,0,100
69,3,9,0.06885301321744919,0,0,100
70,4,9,0.07696125656366348,0,0,100
71,4,10,0.0840315893292427,0,0,100
72,3,10,0.07517845183610916,0,0,100
73,3,11,0.08176498115062714,0,0,100
74,4,11,0.09139375388622284,0,0,100
75,4,12,0.09901341050863266,0,0,100
76,3,12,0.0885818675160408,0,0,100
77,2,12,0.07894036918878555,0,0,100
78,2,11,0.07286545634269714,0,0,100
79,1,11,0.06468142569065094,0,0,100
80,1,12,0.07007402181625366,0,0,100
81,1,13,0.07562024146318436,0,0,100
82,2,13,0.08518834412097931,0,0,100
83,2,14,0.09157243371009827,0,0,100
84,1,14,0.08128728717565536,0,0,100
85,1,15,0.08703836798667908,0,0,100
86,1,16,0.09283299744129181,0,0,100
87,2,16,0.10457900166511536,0,0,100
88,2,15,0.09805118292570114,0,0,100
89,3,15,0.11002680659294128,0,0,100
90,3,16,0.11735190451145172,0,0,100
91,4,16,0.13117145001888275,0,0,100
92,4,15,0.12298373878002167,0,0,100
93,4,14,0.11485756188631058,0,0,100
94,3,14,0.10275676101446152,0,0,100
95,3,13,0.09559294581413269,0,0,100
96,4,13,0.10685012489557266,0,0,100
97,5,13,0.11896734684705734,0,0,100
98,6,13,0.1319422870874405,0,0,100
99,6,14,0.14183016121387482,0,0,100
100,5,14,0.12788285315036774,0,0,100
101,5,15,0.13693057000637054,0,0,100
102,5,16,0.14604680240154266,0,0,100
103,6,16,0.16197513043880463,0,0,100
104,6,15,0.1518646478652954,0,0,100
105,7,15,0.1677708476781845,0,0,100
106,7,16,0.1789402812719345,0,0,100
107,8,16,0.19691167771816254,0,0,100
108,8,15,0.1846204549074173,0,0,100
109,8,14,0.1724216192960739,0,0,100
110,7,14,0.15668535232543945,0,0,100
111,7,13,0.14576183259487152,0,0,100
112,8,13,0.16040103137493134,0,0,100
113,8,12,0.14863672852516174,0,0,100
114,8,11,0.13719826936721802,0,0,100
